City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,new norfolk,-42.7826,147.0587,292.55,46,11,1.7,AU,1713752392
1,rouissat,31.9243,5.3502,289.19,55,1,8.75,DZ,1713752392
2,stanley,54.868,-1.6985,277.75,93,100,1.03,GB,1713752393
3,hauterive,46.0901,3.4459,276.57,98,33,0.94,FR,1713752393
4,ushuaia,-54.8,-68.3,278.96,75,75,2.57,AR,1713752224
5,cannonvale,-20.2833,148.7,296.81,76,67,8.6,AU,1713752393
6,phan thiet,10.9333,108.1,303.97,58,14,2.93,VN,1713752393
7,katsuren-haebaru,26.3369,127.8719,300.58,84,100,4.12,JP,1713751976
8,brisas de zicatela,15.8369,-97.0419,300.44,89,40,1.54,MX,1713752394
9,waitangi,-43.9535,-176.5597,286.94,80,3,3.13,NZ,1713752394
10,tiksi,71.6872,128.8694,267.89,95,100,5.19,RU,1713752394
11,puerto natales,-51.7236,-72.4875,275.1,91,64,2.14,CL,1713752394
12,anadyr,64.75,177.4833,264.43,66,100,7.6,RU,1713752394
13,bethel,41.3712,-73.414,280.64,57,100,0.45,US,1713752308
14,invercargill,-46.4,168.35,284.83,68,21,8.05,NZ,1713752395
15,tazovsky,67.4667,78.7,253.35,97,90,3.56,RU,1713752150
16,atafu village,-8.5421,-172.5159,302.62,77,19,3.97,TK,1713752395
17,west island,-12.1568,96.8225,302.14,79,75,8.75,CC,1713752395
18,port-aux-francais,-49.35,70.2167,278.2,72,11,12.44,TF,1713752395
19,fonte boa,-2.4959,-66.2662,296.65,99,100,1.3,BR,1713752396
20,bredasdorp,-34.5322,20.0403,288.08,89,63,2.78,ZA,1713752396
21,porto novo,6.4965,2.6036,300.14,87,100,1.79,BJ,1713751990
22,vila franca do campo,37.7167,-25.4333,291.42,99,100,1.28,PT,1713752396
23,isafjordur,66.0755,-23.124,274.39,88,79,4.28,IS,1713752396
24,mohr,54.3528,9.7167,275.45,88,100,2.06,DE,1713752397
25,ribeira grande,38.5167,-28.7,287.47,81,100,2.68,PT,1713752397
26,hermanus,-34.4187,19.2345,287.99,89,2,3.97,ZA,1713752397
27,hamilton,39.1834,-84.5333,280.8,69,0,1.54,US,1713752397
28,albany,42.6001,-73.9662,278.17,69,3,0.45,US,1713752125
29,mkokotoni,-5.8767,39.2547,298.85,88,100,4.14,TZ,1713752397
30,avarua,-21.2078,-159.775,301.18,69,40,5.66,CK,1713752398
31,adamstown,-25.066,-130.1015,295.56,69,24,10.06,PN,1713752398
32,susuman,62.7833,148.1667,267.03,76,52,0.89,RU,1713752398
33,kalmunai,7.4167,81.8167,301.76,77,51,1.86,LK,1713752398
34,port elizabeth,-33.918,25.5701,293.88,99,20,1.03,ZA,1713752184
35,east ballina,-28.8667,153.5833,293.59,68,58,7.85,AU,1713752398
36,dudinka,69.4058,86.1778,254.08,100,94,0.89,RU,1713752399
37,denov,38.2667,67.9,291.54,66,100,2.82,UZ,1713752299
38,olonkinbyen,70.9221,-8.7187,267.41,86,100,16.47,SJ,1713752399
39,papatowai,-46.5619,169.4708,284.02,61,29,7.28,NZ,1713752399
40,hailey,43.5196,-114.3153,285.07,24,0,3.09,US,1713752359
41,guerrero negro,27.9769,-114.0611,289.29,81,0,7.18,MX,1713752400
42,grytviken,-54.2811,-36.5092,276.46,83,100,3.45,GS,1713752400
43,whitehorse,60.7161,-135.0538,283.72,27,20,8.23,CA,1713752400
44,touros,-5.1989,-35.4608,299.47,88,100,3.79,BR,1713752400
45,crane,31.3974,-102.3501,287.47,57,99,3.02,US,1713752400
46,el granada,37.5027,-122.4694,297.55,77,0,8.75,US,1713752401
47,puerto aysen,-45.4,-72.7,274.44,95,20,0.82,CL,1713752401
48,alofi,-19.0595,-169.9187,302.09,65,75,5.14,NU,1713752141
49,klyuchi,52.2667,79.1667,288.91,70,58,6.61,RU,1713752401
50,lebu,-37.6167,-73.65,285.65,96,100,5.04,CL,1713752401
51,wailua homesteads,22.0669,-159.378,299.39,74,40,8.75,US,1713752401
52,cabo san lucas,22.8909,-109.9124,302.32,39,0,2.57,MX,1713752403
53,iqaluit,63.7506,-68.5145,255.2,77,20,2.06,CA,1713752403
54,thompson,55.7435,-97.8558,275.24,38,40,0.0,CA,1713752190
55,nichinan,31.6,131.3667,296.97,69,99,2.5,JP,1713752403
56,hawaiian paradise park,19.5933,-154.9731,299.67,76,75,4.12,US,1713752403
57,garachico,28.7781,-17.7646,291.21,64,75,4.63,ES,1713752404
58,blackmans bay,-43.0167,147.3167,291.89,56,7,0.89,AU,1713752404
59,enewetak,11.3474,162.3373,300.97,76,67,7.0,MH,1713752405
60,kampene,-3.6,26.6667,294.46,95,86,0.69,CD,1713752407
61,ilulissat,69.2167,-51.1,275.16,80,75,2.06,GL,1713752410
62,akhtyrskiy,44.8546,38.3031,283.09,85,7,1.19,RU,1713752411
63,den burg,53.0542,4.7972,278.13,74,83,1.54,NL,1713752411
64,la sarre,48.8002,-79.1996,264.37,69,58,3.62,CA,1713751861
65,edinburgh of the seven seas,-37.0676,-12.3116,290.55,86,25,8.91,SH,1713752411
66,jamestown,42.097,-79.2353,276.32,70,0,4.63,US,1713751802
67,borovskoy,53.8,64.15,288.21,73,68,5.14,KZ,1713752413
68,vadso,70.0744,29.7487,267.24,73,100,6.69,NO,1713752413
69,margaret river,-33.95,115.0667,289.61,50,100,7.13,AU,1713752296
70,hammerfest,70.6634,23.6821,269.4,63,3,6.69,NO,1713752418
71,mentougou,39.9392,116.0917,292.67,43,2,1.62,CN,1713752418
72,keflavik,64.0049,-22.5624,276.39,93,75,2.06,IS,1713752418
73,kas,36.2018,29.6377,289.73,48,65,2.49,TR,1713752125
74,sona,45.4388,10.8255,281.11,76,75,1.03,IT,1713752419
75,mitu,1.1983,-70.1733,296.66,97,100,1.43,CO,1713752419
76,rafsanjan,30.4067,55.9939,291.59,41,45,3.05,IR,1713752419
77,saipan,15.1355,145.701,305.54,58,40,8.75,MP,1713752231
78,longyearbyen,78.2186,15.6401,277.06,60,75,3.6,SJ,1713752419
79,geraldton,-28.7667,114.6,297.38,43,3,8.23,AU,1713752420
80,haiku-pauwela,20.9219,-156.3051,298.83,72,40,8.75,US,1713752420
81,la passe,45.5549,-0.8967,278.7,84,1,5.4,FR,1713752420
82,camabatela,-8.1881,15.375,290.81,94,98,1.68,AO,1713752420
83,hadibu,12.65,54.0333,300.3,77,43,0.53,YE,1713752421
84,khandyga,62.6667,135.6,276.87,86,99,1.31,RU,1713751937
85,herkimer,43.0256,-74.986,279.37,73,4,3.2,US,1713752421
86,marine corps base hawaii - mcbh,21.4453,-157.7513,301.13,64,20,7.72,US,1713752421
87,vilyuchinsk,52.9306,158.4028,282.3,82,66,0.72,RU,1713752421
88,tura,25.5198,90.2201,303.17,53,92,3.08,IN,1713752422
89,san antonio de pale,-1.4014,5.6325,302.03,79,89,2.13,GQ,1713752422
90,gazli,40.1333,63.45,296.96,27,0,1.47,UZ,1713752423
91,sheridan,44.8333,-106.9173,287.05,51,0,3.6,US,1713752183
92,madalena,41.2162,-8.3345,289.52,61,12,1.86,PT,1713752423
93,fujinomiya,35.2167,138.6167,290.13,87,100,2.31,JP,1713752424
94,abalak,58.1286,68.5944,278.9,74,17,3.46,RU,1713752424
95,yuzhno-kurilsk,44.0306,145.8556,275.58,97,100,3.79,RU,1713752424
96,kapuskasing,49.4169,-82.4331,268.2,49,20,2.57,CA,1713752424
97,south williamsport,41.232,-76.9991,280.14,58,0,4.12,US,1713752424
98,port isabel,26.0734,-97.2086,294.27,78,100,8.05,US,1713752101
99,mersa matruh,31.3525,27.2453,291.34,62,100,5.91,EG,1713752425
100,gizo,-8.103,156.8419,302.42,73,95,0.26,SB,1713752426
101,nagqu,31.5,92.0,277.61,18,60,7.6,CN,1713752426
102,olyokminsk,60.3736,120.4264,275.28,99,100,0.62,RU,1713752428
103,ujae,8.9322,165.7642,301.23,79,86,7.85,MH,1713752429
104,imbituba,-28.24,-48.6703,291.18,89,0,1.96,BR,1713752429
